Letter,Freq,GPT4o-mini_eng_ori,GPT4o-mini_eng_ftby1k,GPT4o-mini_eng_ftby2k,GPT4o-mini_eng_ftby5k,GPT4o-mini_eng_ftby10k,LLaMA3.1-8B_eng_ori,LLaMA3.1-8B_eng_ftby1k,LLaMA3.1-8B_eng_ftby2k,LLaMA3.1-8B_eng_ftby5k,LLaMA3.1-8B_eng_ftby10k,Gemma2-9B_eng_ori,Gemma2-9B_eng_ftby1k,Gemma2-9B_eng_ftby2k,Gemma2-9B_eng_ftby5k,Gemma2-9B_eng_ftby10k,Mistral-7B_eng_ori,Mistral-7B_eng_ftby1k,Mistral-7B_eng_ftby2k,Mistral-7B_eng_ftby5k,Mistral-7B_eng_ftby10k
a,8.04,87.15,97.63,95.99,99.41,99.83,71.77,84.9,86.68,89.32,89.74,71.2,71.01,70.77,71.07,70.77,64.59,72.32,74.86,78.49,79.49
b,1.48,94.54,98.45,98.95,99.44,99.5,93.3,94.79,96.09,96.53,96.59,93.55,93.74,93.68,93.68,93.61,87.58,86.66,89.27,91.07,91.2
c,3.34,88.46,96.17,95.77,98.26,98.9,80.34,84.92,83.9,87.18,88.17,81.99,82.21,82.1,82.04,82.16,79.77,79.95,80.78,83.35,84.08
d,3.82,92.26,98.46,97.91,99.45,99.56,84.06,89.2,90.38,91.67,92.91,86.76,86.62,86.69,86.69,86.88,85.89,85.24,87.22,88.88,89.43
e,12.49,71.25,97.22,94.49,99.08,99.3,60.57,83.05,85.06,87.44,88.71,62.43,62.4,62.29,62.47,62.39,58.51,62.63,65.25,69.42,71.08
f,2.4,96.03,98.23,98.96,99.58,99.69,88.34,91.23,92.28,93.74,93.84,89.21,89.53,89.73,89.42,89.64,89.02,87.68,87.47,86.95,88.0
g,1.87,94.58,97.97,98.61,98.66,99.26,87.12,91.07,91.07,93.26,93.21,90.13,90.03,90.23,90.03,90.13,87.64,88.14,88.75,89.99,90.43
h,5.05,90.82,97.96,98.94,99.28,99.58,87.62,89.12,90.1,91.21,92.48,87.5,87.41,87.59,87.32,87.33,85.84,85.09,85.17,87.04,87.13
i,7.57,73.45,97.4,96.67,99.27,99.42,68.72,84.91,84.79,85.9,86.44,69.03,69.41,69.43,69.26,69.28,67.41,71.13,72.81,75.34,77.06
j,0.16,96.36,93.94,98.79,98.79,98.18,96.95,96.97,98.18,98.18,97.58,98.18,98.18,98.18,98.18,98.18,97.58,96.97,96.97,93.94,94.55
k,0.54,97.07,98.54,98.69,98.98,99.27,90.5,93.14,92.55,92.7,92.41,93.87,93.72,93.43,93.72,93.58,92.54,91.53,92.11,91.96,91.52
l,4.07,86.23,98.07,98.73,99.43,99.67,79.09,83.8,84.94,86.8,87.6,72.92,73.11,73.55,72.83,73.21,74.01,78.33,78.31,80.43,81.33
m,2.51,94.71,99.14,99.18,99.65,99.65,88.92,93.09,93.95,94.65,95.0,88.35,88.47,88.71,88.39,88.59,88.5,90.12,90.78,91.29,91.64
n,7.23,87.19,98.43,97.27,99.49,99.19,73.59,88.9,90.73,91.62,92.25,73.89,73.85,73.77,73.87,73.72,70.7,78.7,79.55,82.9,83.3
o,7.64,79.09,97.27,90.3,99.14,99.28,67.48,83.34,82.74,84.11,85.55,61.76,62.2,62.81,61.93,62.68,56.55,71.44,72.55,75.19,76.31
p,2.14,92.22,98.78,96.57,99.69,99.54,84.96,90.19,92.9,93.48,93.93,84.22,84.06,84.36,84.17,84.44,84.66,87.91,88.59,89.74,89.47
q,0.12,97.08,100.0,100.0,100.0,100.0,94.19,89.53,91.86,95.93,96.51,94.77,94.74,94.74,94.74,94.15,93.57,93.02,91.86,93.02,93.6
r,6.28,86.53,99.04,99.01,99.53,99.59,73.53,89.1,89.25,92.48,91.37,76.48,76.57,76.58,76.25,76.39,71.21,83.71,84.16,86.64,87.04
s,6.51,84.28,97.72,98.06,99.5,99.6,71.6,83.87,86.4,88.01,87.73,72.13,72.34,72.28,72.19,72.3,72.21,79.57,80.42,81.57,82.04
t,9.28,86.06,98.03,96.63,99.45,99.39,76.36,84.37,87.24,89.0,89.08,75.89,75.75,75.65,75.73,75.88,72.59,78.66,79.35,80.56,82.33
u,2.73,90.91,97.64,96.16,99.06,99.55,83.34,83.04,87.34,88.53,88.73,84.09,84.24,84.21,83.98,84.24,82.38,83.13,83.48,84.56,85.47
v,1.05,97.16,98.0,99.18,99.65,99.65,91.94,90.69,91.28,92.23,93.05,94.81,94.58,94.69,94.81,95.05,93.64,89.52,88.81,88.69,90.34
w,1.68,96.09,97.33,98.75,99.64,99.47,94.81,93.77,95.2,96.26,96.62,91.1,91.8,91.62,91.44,91.62,81.46,86.12,87.01,87.9,89.5
x,0.23,98.88,99.63,100.0,99.63,100.0,90.64,80.15,86.52,92.88,90.64,98.49,98.49,98.49,98.49,98.49,99.25,88.64,94.34,96.25,92.88
y,1.66,94.46,97.7,98.16,99.25,99.54,89.25,88.57,91.15,92.42,92.88,90.74,90.91,91.02,90.73,90.74,91.21,85.01,86.04,88.86,88.86
z,0.09,95.77,98.87,98.87,98.31,99.72,92.63,85.92,90.7,89.86,91.55,94.35,94.35,94.35,94.35,94.35,95.48,92.09,91.83,91.27,90.7
