Letter,GPT4o-mini_spa_ori,GPT4o-mini_spa_ftby1k,GPT4o-mini_spa_ftby2k,GPT4o-mini_spa_ftby5k,GPT4o-mini_spa_ftby10k,LLaMA3.1-8B_spa_ori,LLaMA3.1-8B_spa_ftby1k,LLaMA3.1-8B_spa_ftby2k,LLaMA3.1-8B_spa_ftby5k,LLaMA3.1-8B_spa_ftby10k,Gemma2-9B_spa_ori,Gemma2-9B_spa_ftby1k,Gemma2-9B_spa_ftby2k,Gemma2-9B_spa_ftby5k,Gemma2-9B_spa_ftby10k,Mistral-7B_spa_ori,Mistral-7B_spa_ftby1k,Mistral-7B_spa_ftby2k,Mistral-7B_spa_ftby5k,Mistral-7B_spa_ftby10k
a,78.61,95.87,97.9,97.52,99.64,58.69,73.99,74.74,78.22,78.59,56.72,56.13,55.66,56.41,55.62,46.08,62.67,64.77,66.76,68.37
b,97.38,98.51,99.64,99.46,99.55,88.42,96.98,97.07,97.3,97.43,92.74,92.79,92.83,92.88,92.79,92.61,90.14,91.53,92.21,92.84
c,91.08,97.78,96.99,99.31,99.45,83.92,88.31,88.01,90.29,91.08,86.43,86.45,86.43,86.4,86.43,84.74,87.11,87.85,88.8,89.57
d,92.7,97.95,98.61,99.18,99.72,86.07,92.82,93.39,93.55,94.36,87.14,87.2,87.17,87.11,87.21,86.96,89.36,90.71,91.69,92.47
e,70.94,98.45,96.57,99.05,98.66,61.81,85.73,86.62,87.81,88.55,60.16,60.41,60.15,59.96,60.24,52.35,68.07,70.91,73.21,76.22
f,98.51,98.98,99.77,99.77,100,92.73,97.27,97.5,97.84,98.07,96.36,96.48,96.25,96.48,96.36,94.99,96.59,96.82,96.93,97.27
g,98.58,99.37,99.84,99.69,99.84,95.29,98.59,98.43,98.59,98.59,96.78,96.78,96.62,96.7,96.86,96.62,97.01,96.78,97.17,96.47
h,93.95,99.55,99.55,99.78,99.89,90.26,94.74,94.85,94.96,95.3,93.62,93.84,93.73,93.51,93.84,90.47,93.73,94.18,95.41,96.53
i,73.45,98.06,95.57,98.97,99.26,70.82,86.54,85.98,84.29,84.83,70.37,70.25,70.37,70.23,70.06,68.93,76.02,78.31,81.51,83.32
j,99.51,98.54,99.51,99.35,99.67,97.24,98.86,99.02,98.54,98.86,99.02,99.02,99.02,99.02,99.02,98.86,98.86,98.54,97.72,97.4
k,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100,90,90,100,100,100
l,87.99,99.38,99.64,99.87,99.61,84.77,87.12,87.48,89.04,89.79,72.07,72.46,72.85,71.98,72.77,78.83,82.84,83.69,85.23,86.17
m,92.4,99.47,99.02,99.68,99.79,85.72,88.73,89.64,91.74,91.91,90.02,90.16,90.37,90.13,90.16,89.85,88.38,89.85,90.93,92.58
n,91.58,98.9,98.26,99.61,99.61,75.53,91.73,93.53,93.25,93.72,76.54,76.64,76.36,76.48,76.48,73.89,82.92,85.16,87.13,87.95
o,87.75,98.45,94.16,99.77,99.65,72.45,88.93,89.36,89.72,90.35,70.23,70.97,71.63,70.41,71.18,69.92,82.41,83.23,85.5,85.69
p,97.33,99.67,96.81,99.86,99.9,93.01,96.53,97.72,97.57,97.91,92.24,92.53,92.38,92.19,92.53,93.39,96.86,96.58,96.91,96.58
q,100,99.74,99.74,99.74,100,96.16,95.14,96.42,97.7,97.95,98.21,97.7,97.44,97.44,97.7,98.21,97.18,96.42,98.21,97.7
r,85.51,98.76,98.9,98.82,99.72,74.99,89.12,90.07,91.92,91.89,72.18,71.93,71.92,72.19,72.01,68.06,78.22,84.9,86.03,88.26
s,84.94,97.98,97.15,99.72,99.84,65.24,79.8,82.34,83.38,83.5,67.37,67.24,66.6,67.16,66.77,65.92,82.49,84.57,85.32,86.89
t,92.08,99.08,95.75,99.75,99.64,85.66,93.28,94.75,95.34,95.21,85.4,85.25,85.43,85.25,85.58,84.36,87.41,87.75,88.54,89.58
u,92.92,98.65,98.33,99.72,99.88,89.96,85.23,88.97,91.64,91.8,87.85,87.93,88.01,87.81,88.13,88.08,88.33,87.93,89.29,89.77
v,98.13,97.54,98.89,98.4,99.02,93.6,96.06,96.68,96.56,96.8,96.31,96.18,96.06,96.06,96.19,96.67,97.66,97.91,97.54,98.03
w,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,100,100,100
x,100,98.63,100,100,100,82.88,62.33,77.4,86.99,74.66,100,100,100,100,100,100,79.45,87.67,94.52,90.41
y,95.81,100,100,100,100,95.81,97.6,98.8,98.2,99.4,96.41,96.41,96.41,96.41,97.01,98.8,94.61,95.21,97.01,95.21
z,98.05,94.98,99.69,99.69,99.9,95.7,89.87,95.91,94.47,94.88,98.26,98.26,98.16,98.16,98.16,98.06,93.03,93.34,92.62,93.14
