Letter,Freq,GPT4o-mini_spa_ori,GPT4o-mini_spa_ftby1k,GPT4o-mini_spa_ftby2k,GPT4o-mini_spa_ftby5k,GPT4o-mini_spa_ftby10k,LLaMA3.1-8B_spa_ori,LLaMA3.1-8B_spa_ftby1k,LLaMA3.1-8B_spa_ftby2k,LLaMA3.1-8B_spa_ftby5k,LLaMA3.1-8B_spa_ftby10k
a,11.72,78.61,95.87,97.9,97.52,99.64,58.69,90.68,89.76,89.38,92.82
b,1.49,97.38,98.51,99.64,99.46,99.55,88.42,97.34,98.6,99.82,98.33
c,3.87,91.08,97.78,96.99,99.31,99.45,83.92,94.9,94.43,97.28,91
d,4.67,92.7,97.95,98.61,99.18,99.72,86.07,97.51,97.89,97.89,97.73
e,13.72,70.94,98.45,96.57,99.05,98.66,61.81,92.31,93.17,91.21,94.11
f,0.69,98.51,98.98,99.77,99.77,100,92.73,96.36,98.75,97.61,98.52
g,1,98.58,99.37,99.84,99.69,99.84,95.29,98.82,99.29,99.45,99.29
h,1.18,93.95,99.55,99.55,99.78,99.89,90.26,99.1,99.22,99.66,95.63
i,5.28,73.45,98.06,95.57,98.97,99.26,70.82,88.17,93.2,95.42,91.79
j,0.52,99.51,98.54,99.51,99.35,99.67,97.24,96.91,99.19,98.7,98.37
k,0.11,100,100,100,100,100,60,100,100,100,100
l,5.24,87.99,99.38,99.64,99.87,99.61,84.77,94.03,95.92,97.42,96.22
m,3.08,92.4,99.47,99.02,99.68,99.79,85.72,84.84,92.75,97.72,96.18
n,6.83,91.58,98.9,98.26,99.61,99.61,75.53,93.23,94.76,97.11,97.11
o,8.44,87.75,98.45,94.16,99.77,99.65,72.45,96.49,96.43,96.84,88.79
p,2.89,97.33,99.67,96.81,99.86,99.9,93.01,99.05,99.81,99.62,99
q,1.11,100,99.74,99.74,99.74,100,96.16,98.21,97.19,98.21,98.98
r,6.41,85.51,98.76,98.9,98.82,99.72,74.99,94.69,96.11,94.84,98.09
s,7.2,84.94,97.98,97.15,99.72,99.84,65.24,85.9,91.71,91.86,80.22
t,4.6,92.08,99.08,95.75,99.75,99.64,85.66,97.94,97.83,98.22,99.41
u,4.55,92.92,98.65,98.33,99.72,99.88,89.96,93.43,95.9,94.7,98.77
v,1.05,98.13,97.54,98.89,98.4,99.02,93.6,99.02,99.26,98.03,99.26
w,0.04,100,100,100,100,100,100,100,100,100,100
x,0.14,100,98.63,100,100,100,82.88,97.26,91.03,67.12,99.32
y,1.09,95.81,100,100,100,100,95.81,100,100,98.8,100
z,0.47,98.05,94.98,99.69,99.69,99.9,95.7,97.85,99.18,94.37,97.54
