Letter,Freq,GPT4o-mini_eng_ori,GPT4o-mini_eng_ftby1k,GPT4o-mini_eng_ftby2k,GPT4o-mini_eng_ftby5k,GPT4o-mini_eng_ftby10k,LLaMA3.1-8B_eng_ori,LLaMA3.1-8B_eng_ftby1k,LLaMA3.1-8B_eng_ftby2k,LLaMA3.1-8B_eng_ftby5k,LLaMA3.1-8B_eng_ftby10k
a,8.04,87.15,97.63,95.99,99.41,99.83,71.77,94.5,95.41,96.48,96.09
b,1.48,94.54,98.45,98.95,99.44,99.5,93.3,97.64,97.8,99.26,97.95
c,3.34,88.46,96.17,95.77,98.26,98.9,80.34,91.82,90.58,94.17,89.04
d,3.82,92.26,98.46,97.91,99.45,99.56,84.06,96.15,96.96,97.43,97.36
e,12.49,71.25,97.22,94.49,99.08,99.3,60.57,90.77,93.82,91.18,92.66
f,2.4,96.03,98.23,98.96,99.58,99.69,88.34,88.19,96.53,94.89,98.12
g,1.87,94.58,97.97,98.61,98.66,99.26,87.12,94.15,96.34,96.78,97.67
h,5.05,90.82,97.96,98.94,99.28,99.58,87.62,94.99,95.92,97.49,91.08
i,7.57,73.45,97.4,96.67,99.27,99.42,68.72,88.52,91.4,94.66,92.47
j,0.16,96.36,93.94,98.79,98.79,98.18,96.95,97.58,100,100,98.18
k,0.54,97.07,98.54,98.69,98.98,99.27,90.5,95.01,97.24,98.39,98.39
l,4.07,86.23,98.07,98.73,99.43,99.67,79.09,90.52,92.56,94.65,93.85
m,2.51,94.71,99.14,99.18,99.65,99.65,88.92,90.24,97.14,98.79,98.24
n,7.23,87.19,98.43,97.27,99.49,99.19,73.59,92.33,90.63,95.89,95.67
o,7.64,79.09,97.27,90.3,99.14,99.28,67.48,92.73,92.12,93.87,83.83
p,2.14,92.22,98.78,96.57,99.69,99.54,84.96,94.66,97.46,96.34,95.61
q,0.12,97.08,100,100,100,100,94.19,98.26,97.66,99.42,99.42
r,6.28,86.53,99.04,99.01,99.53,99.59,73.53,95.91,96.56,95.14,97.81
s,6.51,84.28,97.72,98.06,99.5,99.6,71.6,92.03,93.3,94.75,88.36
t,9.28,86.06,98.03,96.63,99.45,99.39,76.36,95.13,94.46,95.23,97.32
u,2.73,90.91,97.64,96.16,99.06,99.55,83.34,91.31,94.18,91.41,98.09
v,1.05,97.16,98,99.18,99.65,99.65,91.94,96.35,97.17,95.88,98
w,1.68,96.09,97.33,98.75,99.64,99.47,94.81,93.95,94.06,97.15,98.22
x,0.23,98.88,99.63,100,99.63,100,90.64,98.88,98.49,89.89,98.88
y,1.66,94.46,97.7,98.16,99.25,99.54,89.25,93.45,95.91,92.65,98.85
z,0.09,95.77,98.87,98.87,98.31,99.72,92.63,97.46,97.46,95.49,98.03
